X (um),Y (um),Air Hole Radius (um),Air Hole Radius2 (um),air_hole_shape
7.0,0.0,2.0,2.0,circle
3.500000000000001,6.0621778264910695,2.0,2.0,circle
-3.4999999999999982,6.06217782649107,2.0,2.0,circle
-7.0,8.572527594031471e-16,2.0,2.0,circle
-3.500000000000003,-6.062177826491069,2.0,2.0,circle
3.499999999999995,-6.062177826491073,2.0,2.0,circle
14.0,0.0,2.0,2.0,circle
10.500000000000002,6.0621778264910695,2.0,2.0,circle
7.000000000000002,12.12435565298214,2.0,2.0,circle
2.541098841762901e-15,12.12435565298214,2.0,2.0,circle
-6.9999999999999964,12.12435565298214,2.0,2.0,circle
-10.499999999999998,6.062177826491071,2.0,2.0,circle
-14.0,1.7145055188062942e-15,2.0,2.0,circle
-10.500000000000004,-6.062177826491069,2.0,2.0,circle
-7.000000000000006,-12.124355652982135,2.0,2.0,circle
-7.623296525288703e-15,-12.124355652982144,2.0,2.0,circle
6.99999999999999,-12.124355652982146,2.0,2.0,circle
10.499999999999996,-6.062177826491073,2.0,2.0,circle
